city,country,country_code,venue_name,address,transport,lat,lng,hotels,corporate,intro,description
Amsterdam,Netherlands,NL,Academia Training Centre Amsterdam,"Zuidas business district
Amsterdam, Netherlands",10 minutes from Amsterdam Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,52.3676,4.9041,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Amsterdam Central,yes,"Public classroom courses and in-company training in Amsterdam, in the Zuidas business district. Small groups, full equipment, lunch included.","Academia runs public classroom training in Amsterdam throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Zuidas business district, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Netherlands."
Rotterdam,Netherlands,NL,Academia Training Centre Rotterdam,"Kop van Zuid
Rotterdam, Netherlands",10 minutes from Rotterdam Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,51.9244,4.4777,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Rotterdam Central,yes,"Public classroom courses and in-company training in Rotterdam, in the Kop van Zuid. Small groups, full equipment, lunch included.","Academia runs public classroom training in Rotterdam throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Kop van Zuid, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Netherlands."
Utrecht,Netherlands,NL,Academia Training Centre Utrecht,"Stationsgebied
Utrecht, Netherlands",10 minutes from Utrecht Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,52.0907,5.1214,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Utrecht Central,yes,"Public classroom courses and in-company training in Utrecht, in the Stationsgebied. Small groups, full equipment, lunch included.","Academia runs public classroom training in Utrecht throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Stationsgebied, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Netherlands."
Eindhoven,Netherlands,NL,Academia Training Centre Eindhoven,"Strijp-S
Eindhoven, Netherlands",10 minutes from Eindhoven Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,51.4416,5.4697,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Eindhoven Central,yes,"Public classroom courses and in-company training in Eindhoven, in the Strijp-S. Small groups, full equipment, lunch included.","Academia runs public classroom training in Eindhoven throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Strijp-S, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Netherlands."
Berlin,Germany,DE,Academia Training Centre Berlin,"Mitte
Berlin, Germany",10 minutes from Berlin Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,52.52,13.405,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Berlin Central,yes,"Public classroom courses and in-company training in Berlin, in the Mitte. Small groups, full equipment, lunch included.","Academia runs public classroom training in Berlin throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Mitte, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Germany."
Munich,Germany,DE,Academia Training Centre Munich,"Schwabing
Munich, Germany",10 minutes from Munich Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,48.1351,11.582,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Munich Central,yes,"Public classroom courses and in-company training in Munich, in the Schwabing. Small groups, full equipment, lunch included.","Academia runs public classroom training in Munich throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Schwabing, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Germany."
Frankfurt,Germany,DE,Academia Training Centre Frankfurt,"Bankenviertel
Frankfurt, Germany",10 minutes from Frankfurt Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,50.1109,8.6821,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Frankfurt Central,yes,"Public classroom courses and in-company training in Frankfurt, in the Bankenviertel. Small groups, full equipment, lunch included.","Academia runs public classroom training in Frankfurt throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Bankenviertel, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Germany."
Hamburg,Germany,DE,Academia Training Centre Hamburg,"HafenCity
Hamburg, Germany",10 minutes from Hamburg Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,53.5511,9.9937,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Hamburg Central,yes,"Public classroom courses and in-company training in Hamburg, in the HafenCity. Small groups, full equipment, lunch included.","Academia runs public classroom training in Hamburg throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the HafenCity, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in Germany."
Paris,France,FR,Academia Training Centre Paris,"La Défense
Paris, France",10 minutes from Paris Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,48.8566,2.3522,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Paris Central,yes,"Public classroom courses and in-company training in Paris, in the La Défense. Small groups, full equipment, lunch included.","Academia runs public classroom training in Paris throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the La Défense, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in France."
Lyon,France,FR,Academia Training Centre Lyon,"Part-Dieu
Lyon, France",10 minutes from Lyon Central Station by metro or tram. Airport transfer under 35 minutes. Paid parking in the building; bicycle storage available.,45.764,4.8357,Business hotel next to the venue (corporate rate on request)|Boutique hotel 400 m away|Budget option near Lyon Central,yes,"Public classroom courses and in-company training in Lyon, in the Part-Dieu. Small groups, full equipment, lunch included.","Academia runs public classroom training in Lyon throughout the year, covering business and management, finance, technology, supply chain, HR and compliance. The venue sits in the Part-Dieu, within easy reach of the central station and the airport, and is also available for private in-company sessions for teams based in France."
