term,slug,subcategory,definition,body
S&OP (Sales and Operations Planning),s-op-sales-and-operations-planning,Supply Chain Management,"A monthly decision cycle that reconciles what the business intends to sell with what it can actually make, buy and deliver.","<p>A monthly decision cycle that reconciles what the business intends to sell with what it can actually make, buy and deliver.</p>
<p>S&OP is the monthly cadence where commercial, supply, finance and leadership agree one number. Demand planning produces a forecast, supply planning tests it against capacity and material availability, finance translates the result into a P&L view, and an executive meeting resolves whatever still does not balance. Done properly it replaces four departmental spreadsheets with one plan the whole business is accountable to. Done badly it becomes a status meeting with slides. The difference is almost always whether the executive session actually makes trade-off decisions.</p>"
Working capital,working-capital,Management Accounting & Control,Current assets minus current liabilities — the cash tied up in running the business day to day.,"<p>Current assets minus current liabilities — the cash tied up in running the business day to day.</p>
<p>Working capital is inventory plus receivables minus payables. Every euro sitting in stock or in an unpaid customer invoice is a euro not available for anything else, which is why the cash conversion cycle matters more to most CFOs than the headline margin. Improving it is rarely a finance exercise alone: payment terms sit with procurement and sales, stock levels sit with supply chain, and invoicing accuracy sits with operations.</p>"
IFRS 16,ifrs-16,Financial Accounting & Reporting,The lease accounting standard that put almost all leases onto the balance sheet as a right-of-use asset and a lease liability.,"<p>The lease accounting standard that put almost all leases onto the balance sheet as a right-of-use asset and a lease liability.</p>
<p>Before IFRS 16, operating leases lived in the notes. Since adoption, a lessee recognises a right-of-use asset and a corresponding liability for nearly every lease, which changes EBITDA, gearing and a range of covenant ratios without anything about the underlying business changing. The judgements that drive the number are the lease term (including options reasonably certain to be exercised) and the discount rate. Three years on, those two are still where most errors are found.</p>"
DPIA (Data Protection Impact Assessment),dpia-data-protection-impact-assessment,Data Protection & Privacy,A structured assessment required under GDPR Article 35 when processing is likely to result in a high risk to individuals.,"<p>A structured assessment required under GDPR Article 35 when processing is likely to result in a high risk to individuals.</p>
<p>A DPIA describes the processing, assesses necessity and proportionality, identifies risks to data subjects and sets out the measures that address them. It is mandatory for large-scale systematic monitoring, large-scale processing of special-category data, and systematic automated decision-making with legal effects. In practice most organisations discover they need one halfway through a project, which is the expensive moment to find out — the assessment is supposed to shape the design, not certify it afterwards.</p>"
Reverse charge (VAT),reverse-charge-vat,"Tax, Audit & Assurance",A mechanism that shifts the obligation to account for VAT from the supplier to the business customer.,"<p>A mechanism that shifts the obligation to account for VAT from the supplier to the business customer.</p>
<p>In cross-border B2B supplies within the EU, the supplier invoices without VAT and the customer accounts for it in their own return, usually with a simultaneous deduction. It exists so that suppliers do not have to register in every member state where they have a customer. The practical requirements are a valid VAT number for the customer, verified through VIES, and the correct wording on the invoice. Getting the verification step wrong makes the supplier liable for the tax.</p>"
DAX,dax,Data Analytics & BI,"The formula language used by Power BI, Power Pivot and Analysis Services for calculated measures and columns.","<p>The formula language used by Power BI, Power Pivot and Analysis Services for calculated measures and columns.</p>
<p>DAX looks like Excel but behaves nothing like it. The critical concept is filter context: a measure returns a different answer depending on what is filtering the visual it sits in. CALCULATE, which modifies that context, is the function every intermediate user has to properly understand before anything else makes sense. Most performance problems in Power BI trace back to measures written as if they were spreadsheet formulas.</p>"
Star schema,star-schema,Data Analytics & BI,A data model with a central fact table joined to surrounding dimension tables — the shape almost every BI tool is optimised for.,"<p>A data model with a central fact table joined to surrounding dimension tables — the shape almost every BI tool is optimised for.</p>
<p>Facts hold the measurable events: sales lines, transactions, timesheet entries. Dimensions hold the descriptive attributes you slice by: date, customer, product, region. Modelling this way rather than importing wide flat tables is the single largest performance and maintainability decision in a BI project, and it is the one most often skipped by teams that came to analytics from spreadsheets.</p>"
Kanban,kanban,Agile & Product,"A method for managing work by visualising it, limiting work in progress and improving flow.","<p>A method for managing work by visualising it, limiting work in progress and improving flow.</p>
<p>Kanban has no prescribed roles, ceremonies or timeboxes. You visualise the current workflow, agree explicit limits on how many items may sit in each stage, and then manage the queue rather than the people. It suits service and support teams, and any environment where work arrives unpredictably, better than a sprint-based approach. The limits are the whole method — a board without WIP limits is a to-do list with columns.</p>"
Definition of Done,definition-of-done,Agile & Product,"The shared, explicit checklist a team applies before any item can be called complete.","<p>The shared, explicit checklist a team applies before any item can be called complete.</p>
<p>A Definition of Done removes the argument about whether something is finished by settling it in advance: tested, reviewed, documented, deployable, whatever the team agrees. It is a quality floor, not an aspiration, and it should be visible during the work rather than recited at the review. Teams that quietly relax it under deadline pressure accumulate exactly the debt the practice exists to prevent.</p>"
RACI,raci,Project Management,"A responsibility matrix identifying who is Responsible, Accountable, Consulted and Informed for each activity.","<p>A responsibility matrix identifying who is Responsible, Accountable, Consulted and Informed for each activity.</p>
<p>The value of a RACI is not the grid, it is the argument you have while filling it in — particularly the rule that exactly one party is Accountable for any given activity. Where two names appear in that column, you have found a real governance problem, not a documentation one. Keep it to the decisions that matter; a RACI covering forty activities is filed and never read.</p>"
