trainer_ref,name,role,years,base_city,certifications,languages,linkedin,days_delivered,rating,reviews,expertise,bio,bio_long
t01,Dr. Marieke van Dijk,Lead Trainer — Finance & Reporting,22,Amsterdam,"ACCA, RA (NL), IFRS Cert. (ICAEW)",English,https://www.linkedin.com/in/dr-marieke-van-dijk/,1240,4.9,412,IFRS|Financial Reporting|Consolidation|Audit Readiness,"Former Big Four audit partner who has led IFRS conversion programmes for listed groups in the Netherlands, Germany and the Nordics.","Former Big Four audit partner who has led IFRS conversion programmes for listed groups in the Netherlands, Germany and the Nordics. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t02,Tobias Lehmann,Principal Trainer — SAP & ERP,18,Munich,"SAP Certified Application Associate, SAP Activate Project Manager",English,https://www.linkedin.com/in/tobias-lehmann/,980,4.8,356,SAP S/4HANA|SAP FI/CO|SAP MM|Migration Cockpit,"18 years of S/4HANA programme delivery across automotive and industrial manufacturing, including six full greenfield implementations.","18 years of S/4HANA programme delivery across automotive and industrial manufacturing, including six full greenfield implementations. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t03,Amara Okonkwo,Senior Trainer — Data & Analytics,13,Berlin,"Microsoft Certified: Data Analyst Associate, Azure Data Scientist",English,https://www.linkedin.com/in/amara-okonkwo/,760,4.9,298,Power BI|Python|SQL|Machine Learning,Analytics lead turned educator; designs hands-on labs that take non-technical teams from spreadsheets to production dashboards.,"Analytics lead turned educator; designs hands-on labs that take non-technical teams from spreadsheets to production dashboards. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t04,Sofia Marchetti,Lead Trainer — Leadership & Change,19,Milan,"ICF PCC, Prosci Change Practitioner, Hogan Certified",English,https://www.linkedin.com/in/sofia-marchetti/,1100,4.9,501,Leadership Development|Change Management|Executive Coaching,Executive coach and facilitator working with C-suite teams across Southern Europe on transformation and leadership capability.,"Executive coach and facilitator working with C-suite teams across Southern Europe on transformation and leadership capability. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t05,Jean-Luc Moreau,Senior Trainer — Project & Agile,16,Paris,"PMP, PRINCE2 Practitioner, SAFe SPC, PSM III",English,https://www.linkedin.com/in/jean-luc-moreau/,890,4.8,344,PRINCE2|PMP|Scrum|SAFe|Portfolio Management,"Agile transformation consultant for banking and public sector clients; trains in French, English and Spanish.","Agile transformation consultant for banking and public sector clients; trains in French, English and Spanish. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t06,Elena Petrova,Principal Trainer — Supply Chain,21,Rotterdam,"CIPS Level 6, APICS CPIM, CSCP",English,https://www.linkedin.com/in/elena-petrova/,1020,4.8,377,Supply Chain Strategy|Procurement|S&OP|Logistics,Ex-Head of European Supply Chain for an FMCG group; specialises in S&OP maturity and procurement transformation.,"Ex-Head of European Supply Chain for an FMCG group; specialises in S&OP maturity and procurement transformation. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t07,Daniel Fischer,Senior Trainer — Cyber & Cloud,15,Frankfurt,"CISSP, CISM, ISO 27001 Lead Auditor, AWS Solutions Architect",English,https://www.linkedin.com/in/daniel-fischer/,700,4.9,261,Cybersecurity|ISO 27001|Cloud Security|Incident Response,CISO advisor running red-team led awareness programmes and ISO 27001 implementation training for regulated industries.,"CISO advisor running red-team led awareness programmes and ISO 27001 implementation training for regulated industries. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t08,Isabel Rodríguez,Lead Trainer — Human Resources,17,Madrid,"SHRM-SCP, CIPD Level 7",English,https://www.linkedin.com/in/isabel-rodríguez/,840,4.8,312,HR Strategy|Talent Acquisition|Performance Management|HR Analytics,"HR Director turned educator, focused on evidence-based people practices and building HR analytics capability.","HR Director turned educator, focused on evidence-based people practices and building HR analytics capability. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t09,Klaus Berger,Senior Trainer — Risk & Compliance,24,Vienna,"CIPP/E, CRISC, FCCA",English,https://www.linkedin.com/in/klaus-berger/,1150,4.7,389,GDPR|Risk Management|Corporate Governance|AML,"Regulatory specialist advising boards on governance, data protection and enterprise risk frameworks across the EU.","Regulatory specialist advising boards on governance, data protection and enterprise risk frameworks across the EU. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
t10,Nadia Haddad,Senior Trainer — Communication & Sales,14,Brussels,"Harvard PON Alumna, Certified Professional Facilitator",English,https://www.linkedin.com/in/nadia-haddad/,930,4.9,423,Negotiation|Presentation Skills|Consultative Selling|Storytelling,Negotiation trainer for EU institutions and multinational sales organisations; known for high-pressure simulation workshops.,"Negotiation trainer for EU institutions and multinational sales organisations; known for high-pressure simulation workshops. Teaches in small groups and builds every session around the participants' own systems, data and live problems rather than generic case material."
