course_code,slug,title,summary,description,category,subcategory,level,days,hours,price,day_rate,objectives,audience,prerequisites,includes,certificate,accreditor,delivery_modes,languages,trainer_ref,rating,reviews,bookings,scheme_name,scheme_owner,scheme_status,exam_questions,exam_format,exam_pass_mark,exam_duration,exam_book,certification_pathway,syllabus,self_paced,self_paced_price
C0001,leadership-essentials-for-new-managers,Leadership Essentials for New Managers,"A 1-day foundation-level programme covering Leadership Essentials for New Managers, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 1-day foundation-level programme covering Leadership Essentials for New Managers, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Foundation,1,7,695,2950,Explain the key principles and terminology of leadership development|Run a working session with your team using the facilitation guide provided|Build and present a practical action plan to your stakeholders|Apply the core concepts confidently in your own organisation,Professionals new to the subject|Team members taking on the responsibility for the first time|Managers who need enough understanding to ask the right questions,None — this course starts from first principles.,"Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite|Self-paced,English,t06,4.5,201,374,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",yes,235
C0002,advanced-leadership-masterclass,Advanced Leadership Masterclass,"A 3-day advanced-level programme covering Advanced Leadership Masterclass, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day advanced-level programme covering Advanced Leadership Masterclass, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Advanced,3,21,2645,2750,Explain the key principles and terminology of leadership development|Benchmark your practice against industry standards and peer organisations|Translate technical output into decisions your business audience understands|Avoid the most common implementation pitfalls seen in European organisations,Experienced practitioners and specialists|People leading the function or the transformation|Those preparing for certification or a step up in scope,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t11,4.7,29,214,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0003,leading-high-performance-teams,Leading High-Performance Teams,"A 3-day intermediate-level programme covering Leading High-Performance Teams, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day intermediate-level programme covering Leading High-Performance Teams, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,3,21,2345,2750,"Explain the key principles and terminology of leadership development|Apply the core concepts confidently in your own organisation|Avoid the most common implementation pitfalls seen in European organisations|Use the provided templates, checklists and calculators after the course",Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t04,4.8,185,175,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0004,situational-leadership-in-practice,Situational Leadership in Practice,"A 3-day intermediate-level programme covering Situational Leadership in Practice, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day intermediate-level programme covering Situational Leadership in Practice, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,3,21,2345,2750,Explain the key principles and terminology of leadership development|Benchmark your practice against industry standards and peer organisations|Avoid the most common implementation pitfalls seen in European organisations|Diagnose current-state gaps using a structured assessment framework,Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t09,4.8,138,459,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0005,executive-presence-and-influence,Executive Presence and Influence,"A 3-day advanced-level programme covering Executive Presence and Influence, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day advanced-level programme covering Executive Presence and Influence, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Advanced,3,21,2645,2750,"Explain the key principles and terminology of leadership development|Run a working session with your team using the facilitation guide provided|Use the provided templates, checklists and calculators after the course|Diagnose current-state gaps using a structured assessment framework",Experienced practitioners and specialists|People leading the function or the transformation|Those preparing for certification or a step up in scope,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t02,4.8,23,292,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0006,leading-through-uncertainty,Leading Through Uncertainty,"A 3-day intermediate-level programme covering Leading Through Uncertainty, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day intermediate-level programme covering Leading Through Uncertainty, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,3,21,2345,2750,Explain the key principles and terminology of leadership development|Diagnose current-state gaps using a structured assessment framework|Build and present a practical action plan to your stakeholders|Translate technical output into decisions your business audience understands,Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t07,4.8,173,251,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0007,coaching-skills-for-leaders,Coaching Skills for Leaders,"A 3-day intermediate-level programme covering Coaching Skills for Leaders, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day intermediate-level programme covering Coaching Skills for Leaders, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,3,21,2345,2750,Explain the key principles and terminology of leadership development|Translate technical output into decisions your business audience understands|Apply the core concepts confidently in your own organisation|Run a working session with your team using the facilitation guide provided,Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t12,4.6,231,370,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0008,emotional-intelligence-for-leaders,Emotional Intelligence for Leaders,"A 3-day intermediate-level programme covering Emotional Intelligence for Leaders, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day intermediate-level programme covering Emotional Intelligence for Leaders, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,3,21,2345,2750,Explain the key principles and terminology of leadership development|Translate technical output into decisions your business audience understands|Diagnose current-state gaps using a structured assessment framework|Avoid the most common implementation pitfalls seen in European organisations,Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t05,4.6,82,59,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0009,women-in-leadership-programme,Women in Leadership Programme,"A 2-day intermediate-level programme covering Women in Leadership Programme, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 2-day intermediate-level programme covering Women in Leadership Programme, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,2,14,1595,2950,Explain the key principles and terminology of leadership development|Benchmark your practice against industry standards and peer organisations|Run a working session with your team using the facilitation guide provided|Avoid the most common implementation pitfalls seen in European organisations,Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t10,4.8,111,43,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0010,first-time-supervisor-bootcamp,First-Time Supervisor Bootcamp,"A 2-day intermediate-level programme covering First-Time Supervisor Bootcamp, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 2-day intermediate-level programme covering First-Time Supervisor Bootcamp, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,2,14,1595,2950,Explain the key principles and terminology of leadership development|Avoid the most common implementation pitfalls seen in European organisations|Apply the core concepts confidently in your own organisation|Build and present a practical action plan to your stakeholders,Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t03,4.5,218,403,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
C0011,leading-hybrid-and-remote-teams,Leading Hybrid and Remote Teams,"A 3-day intermediate-level programme covering Leading Hybrid and Remote Teams, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.","<p>A 3-day intermediate-level programme covering Leading Hybrid and Remote Teams, within the wider context of leadership development. Delivered through short expert inputs, hands-on exercises and real European case studies, with a practical toolkit you take back to work.</p>",Business & Management,Leadership Development,Intermediate,3,21,2345,2750,"Explain the key principles and terminology of leadership development|Use the provided templates, checklists and calculators after the course|Benchmark your practice against industry standards and peer organisations|Translate technical output into decisions your business audience understands",Practitioners with some hands-on experience|People who have learned on the job and want the structure behind it|Team leads responsible for the process end to end,"Working familiarity with leadership development, or completion of our foundation-level course in this area.","Full course materials and slide deck|Digital toolkit: templates, checklists and calculators|Certificate of completion|Lunch and refreshments (classroom dates)|90-day access to the session recording (online dates)|Post-course Q&A with your trainer",Academia Certificate of Completion,,Online|Classroom|Onsite,English,t08,4.7,36,216,,,,,,,,,,"Framing the subject::Terminology and the mental model everyone needs first;Where this sits in the wider operating model;What good looks like — and how it is measured§Current-state diagnostic::Assessing your organisation against the standard;Identifying the three gaps that matter most;Building the baseline you will report against§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Working with stakeholders::Mapping influence and interest;Structuring a difficult conversation;Communicating status without spin§Performance and measurement::Choosing metrics that change behaviour;Leading versus lagging indicators;Reporting to a board audience§Risk and issue handling::Identifying risk before it becomes issue;Proportionate mitigation;When to escalate and when to absorb§Leading through change::Reading resistance accurately;Building coalitions;Sustaining momentum past the launch§Roles, accountability and decision rights::Who decides what, and on what evidence;RACI in practice without the bureaucracy;Escalation paths that actually get used§Planning and prioritisation::Sequencing work against capacity, not ambition;Trade-off frameworks for competing demands;Making the plan survive first contact§Common failure modes::The five mistakes practitioners see most often;Early warning signs and how to read them;Recovering a programme that has drifted§Embedding it at work::Stakeholder map and the first three conversations;30/60/90-day action plan built in the room;Using the toolkit: templates, checklists and calculators",no,
